subject,root_subject,object/0,is_multivalued,is_required,context,predicate,exclude_from_extensions,object/1,object/2,object/3
GO:0005575,http://purl.obolibrary.org/obo/go/shapes/GoCamEntity,GO:0008150,true,false,,RO:0002490,false,UBERON:0000105,PO:0009012,
GO:0005575,http://purl.obolibrary.org/obo/go/shapes/GoCamEntity,GO:0008150,true,false,,RO:0002491,false,UBERON:0000105,PO:0009012,
GO:0032991,http://purl.obolibrary.org/obo/go/shapes/GoCamEntity,CARO:0000000,false,false,,RO:0001025,false,,,
GO:0032991,http://purl.obolibrary.org/obo/go/shapes/GoCamEntity,CARO:0000000,false,false,,RO:0002432,false,http://purl.obolibrary.org/obo/go/shapes/RootCellularComponent,,
GO:0032991,http://purl.obolibrary.org/obo/go/shapes/GoCamEntity,CHEBI:33695,true,false,,BFO:0000051,false,GO:0032991,,
GO:0032991,http://purl.obolibrary.org/obo/go/shapes/GoCamEntity,GO:0008150,true,false,,RO:0002490,false,UBERON:0000105,PO:0009012,
GO:0032991,http://purl.obolibrary.org/obo/go/shapes/GoCamEntity,GO:0008150,true,false,,RO:0002491,false,UBERON:0000105,PO:0009012,
CHEBI:36080,CHEBI:24431,CARO:0000000,false,false,,RO:0001025,false,,,
CHEBI:36080,CHEBI:24431,CARO:0000000,false,false,,RO:0002432,false,http://purl.obolibrary.org/obo/go/shapes/RootCellularComponent,,
CHEBI:36080,CHEBI:24431,GO:0032991,false,false,,BFO:0000050,false,,,
CHEBI:36080,CHEBI:24431,GO:0003674,false,false,,RO:0002326,false,,,
CHEBI:33695,CHEBI:24431,CARO:0000000,false,false,,RO:0001025,false,,,
CHEBI:33695,CHEBI:24431,CARO:0000000,false,false,,RO:0002432,false,http://purl.obolibrary.org/obo/go/shapes/RootCellularComponent,,
CHEBI:33695,CHEBI:24431,GO:0032991,false,false,,BFO:0000050,false,,,
CHEBI:33695,CHEBI:24431,GO:0003674,false,false,,RO:0002326,false,,,
